model,2021,2025,2030,2035,2040,2045,2050
default_biomass,6.58,6.58,6.58,6.58,6.58,6.58,6.58
default_biogas,8.1,8.1,8.1,8.1,8.1,8.1,8.1
coal_IGCC,14.94,14.86919431,14.75792823,14.64666215,14.52528097,14.4140149,14.30274882
coal_pulverized,6.12,6.025957447,5.859574468,5.693191489,5.584680851,5.483404255,5.374893617
default_diesel,7.75,7.75,7.75,7.75,7.75,7.75,7.75
gas_CC,2.55,2.471938776,2.341836735,2.224744898,2.146683673,2.081632653,2.003571429
gas_CT,6.4,6.4,6.4,6.4,6.4,6.4,6.4
hydro_ror,1,1,1,1,1,1,1
import,60,60,60,60,60,60,60
default_nuclear,3.22,3.22,3.22,3.22,3.22,3.22,3.22
default_SMR,4.08,4.08,4.08,4.08,4.08,4.08,4.08
default_oil,7.75,7.75,7.75,7.75,7.75,7.75,7.75
default_solar_PV,0,0,0,0,0,0,0
wind_2021,0,0,0,0,0,0,0
wind_new,0,0,0,0,0,0,0
hydro_storage,3,3,3,3,3,3,3
default_liion_battery,0,0,0,0,0,0,0
